GenBank accession	TaxID	Organism	Description	Length	Phylum	Class	Order	Family	Genus	Genetic code	GC%	Percentage genome with GC50
NC_045201.1	235537	Amanita thiersii	Amanita thiersii mitochondrion, complete genome	137428	Basidiomycota	Agaricomycetes	Agaricales	Amanitaceae	Amanita	4	24.0073	0
NC_027458.1	53488	Torulaspora franciscae	Torulaspora franciscae strain Y6686 mitochondrion, complete genome	39201	Ascomycota	Saccharomycetes	Saccharomycetales	Saccharomycetaceae	Torulaspora	3	23.9872	2.29885
LK392300.1	381046	Lachancea thermotolerans	Lachancea thermotolerans complete mitochondrial genome, strain DMKU-RK361	25121	Ascomycota	Saccharomycetes	Saccharomycetales	Saccharomycetaceae	Lachancea	3	23.8723	0
NC_022165.1	1378263	Ogataea philodendri	Ogataea philodendri strain CBS 6075 mitochondrion, complete genome	27063	Ascomycota	Saccharomycetes	Saccharomycetales	Pichiaceae	Ogataea	4	23.8704	0
DQ376035.2	5480	Candida parapsilosis	Candida parapsilosis strain CLIB214 mitochondrion, complete genome	32750	Ascomycota	Saccharomycetes	Saccharomycetales	Debaryomycetaceae	Candida	4	23.8073	0
JQ062883.1	5480	Candida parapsilosis	Candida parapsilosis strain CBS 6318 mitochondrion, partial genome	32749	Ascomycota	Saccharomycetes	Saccharomycetales	Debaryomycetaceae	Candida	4	23.8073	0
NC_005253.2	5480	Candida parapsilosis	Candida parapsilosis mitochondrion, complete genome	32745	Ascomycota	Saccharomycetes	Saccharomycetales	Debaryomycetaceae	Candida	4	23.8073	0
NC_045199.1	41956	Amanita muscaria	Amanita muscaria mitochondrion, complete genome	62233	Basidiomycota	Agaricomycetes	Agaricales	Amanitaceae	Amanita	4	23.7343	0
NC_036748.1	588727	Kazachstania sinensis	Kazachstania sinensis culture NRRL:Y-27222 mitochondrion, complete genome	38566	Ascomycota	Saccharomycetes	Saccharomycetales	Saccharomycetaceae	Kazachstania	3	23.6265	0
HE983612.1	1266666	Lachancea nothofagi CBS 11611	Lachancea nothofagi CBS 11611 complete mitochondrial genome	24077	Ascomycota	Saccharomycetes	Saccharomycetales	Saccharomycetaceae	Lachancea	3	23.6208	0
NC_045197.1	87326	Amanita brunnescens	Amanita brunnescens mitochondrion, complete genome	62533	Basidiomycota	Agaricomycetes	Agaricales	Amanitaceae	Amanita	4	23.5801	0
NC_012824.1	5551	Trichophyton rubrum	Trichophyton rubrum mitochondrion, complete genome	26985	Ascomycota	Eurotiomycetes	Onygenales	Arthrodermataceae	Trichophyton	4	23.5382	0
NC_012828.1	74035	Arthroderma uncinatum	Arthroderma uncinatum mitochondrion, complete genome	28530	Ascomycota	Eurotiomycetes	Onygenales	Arthrodermataceae	Arthroderma	4	23.4737	0
NC_007394.1	34391	Epidermophyton floccosum	Epidermophyton floccosum mitochondrion, complete genome	30910	Ascomycota	Eurotiomycetes	Onygenales	Arthrodermataceae	Epidermophyton	4	23.4337	0
NC_044676.1	208960	Fomitiporia mediterranea	Fomitiporia mediterranea strain MF3/22 mitochondrion, complete genome	115036	Basidiomycota	Agaricomycetes	Hymenochaetales	Hymenochaetaceae	Fomitiporia	4	23.4021	0
NC_042772.1	89243	Laccaria amethystina	Laccaria amethystina mitochondrion, complete genome	65156	Basidiomycota	Agaricomycetes	Agaricales	Tricholomataceae	Laccaria	4	23.3856	0
NC_045195.1	1262671	Amanita basii	Amanita basii mitochondrion, complete genome	37341	Basidiomycota	Agaricomycetes	Agaricales	Amanitaceae	Amanita	4	23.3844	0.403226
NC_039931.1	1659845	Sanghuangporus sanghuang	Sanghuangporus sanghuang strain KACC54185 mitochondrion, complete genome	112060	Basidiomycota	Agaricomycetes	Hymenochaetales	Hymenochaetaceae	Sanghuangporus	4	23.2129	0
NC_016130.1	1608523	Yarrowia deformans	Candida deformans mitochondrion, complete genome	40665	Ascomycota	Saccharomycetes	Saccharomycetales	Dipodascaceae	Yarrowia	3	23.1759	0
NC_037773.1	40490	Russula compacta	Russula compacta mitochondrion, complete genome	69423	Basidiomycota	Agaricomycetes	Russulales	Russulaceae	Russula	4	23.0909	0
NC_013255.1	4920	Millerozyma farinosa	Millerozyma farinosa mitochondrion, complete genome	39107	Ascomycota	Saccharomycetes	Saccharomycetales	Debaryomycetaceae	Millerozyma	3	22.9872	0
NC_003053.1	60187	Rhizophydium sp. 136	Rhizophydium sp. 136 mitochondrion, complete genome	68834	Chytridiomycota	Chytridiomycetes	Rhizophydiales	Rhizophydiaceae	Rhizophydium	16	22.9753	0
NC_041555.1	430498	Dactylellina haptotyla	Dactylellina haptotyla mitochondrion, complete genome	146101	Ascomycota	Orbiliomycetes	Orbiliales	Orbiliaceae	Dactylellina	4	22.9199	0
NC_016124.1	479092	Yarrowia alimentaria	Candida alimentaria mitochondrion, complete genome	35173	Ascomycota	Saccharomycetes	Saccharomycetales	Dipodascaceae	Yarrowia	3	22.8433	0
NC_016126.1	444778	Yarrowia phangngaensis	Candida phangngaensis voucher CBS:10407 mitochondrion, complete genome	28017	Ascomycota	Saccharomycetes	Saccharomycetales	Dipodascaceae	Yarrowia	3	22.7993	0
NC_016116.1	197054	Yarrowia galli	Candida galli mitochondrion, complete genome	48508	Ascomycota	Saccharomycetes	Saccharomycetales	Dipodascaceae	Yarrowia	3	22.7802	0
NC_024555.1	984962	Heterobasidion irregulare	Heterobasidion irregulare strain TC 32-1 mitochondrion, complete genome	114193	Basidiomycota	Agaricomycetes	Russulales	Bondarzewiaceae	Heterobasidion	4	22.7744	0
NC_022166.1	599730	Wickerhamomyces pijperi	Wickerhamomyces pijperi strain CBS 2887 mitochondrion, complete genome	23268	Ascomycota	Saccharomycetes	Saccharomycetales	Phaffomycetaceae	Wickerhamomyces	4	22.7441	0
NC_002659.1	4952	Yarrowia lipolytica	Yarrowia lipolytica mitochondrion, complete genome	47916	Ascomycota	Saccharomycetes	Saccharomycetales	Dipodascaceae	Yarrowia	4	22.7043	0
AP018713.1	498019	[Candida] auris	[Candida] auris JCM 15448 mitochondrial DNA, complete sequence	27071	Ascomycota	Saccharomycetes	Saccharomycetales	Metschnikowiaceae	Clavispora	3	22.7	0
KC993177.1	4952	Yarrowia lipolytica	Yarrowia lipolytica strain CBS 599 mitochondrion, complete genome	47895	Ascomycota	Saccharomycetes	Saccharomycetales	Dipodascaceae	Yarrowia	4	22.604	0
CP017559.1	4952	Yarrowia lipolytica	Yarrowia lipolytica strain CLIB89(W29) mitochondrion, complete genome	47926	Ascomycota	Saccharomycetes	Saccharomycetales	Dipodascaceae	Yarrowia	4	22.5893	0
MH319476.1	1886493	Lactarius sp. (in: Russulaceae)	Lactarius sp. (in: Russulaceae) mitochondrion, complete genome	47389	Basidiomycota	Agaricomycetes	Russulales	Russulaceae	Lactarius	4	22.5249	0.31746
MH138077.1	1886493	Lactarius sp. (in: Russulaceae)	Lactarius sp. (in: Russulaceae) mitochondrion, complete genome	40961	Basidiomycota	Agaricomycetes	Russulales	Russulaceae	Lactarius	4	22.5153	0.3663
NC_004918.1	27293	Kazachstania servazzii	Saccharomyces servazzii mitochondrion, complete genome	30782	Ascomycota	Saccharomycetes	Saccharomycetales	Saccharomycetaceae	Kazachstania	3	22.4911	0
NC_022158.1	36015	Pichia kluyveri	Pichia kluyveri strain CBS 7907 mitochondrion, complete genome	43128	Ascomycota	Saccharomycetes	Saccharomycetales	Pichiaceae	Pichia	4	22.439	0
NC_038054.1	71967	Lactarius volemus	Lactarius volemus mitochondrion, complete genome	38445	Basidiomycota	Agaricomycetes	Russulales	Russulaceae	Lactarius	4	22.4219	0.390625
NC_037776.1	152963	Russula lepida	Russula lepida mitochondrion, complete genome	56008	Basidiomycota	Agaricomycetes	Russulales	Russulaceae	Russula	4	22.3557	0.268097
NC_022435.1	536035	Candida prachuapensis	Candida prachuapensis mitochondrion, complete genome	90840	Ascomycota	Saccharomycetes	Saccharomycetales	Debaryomycetaceae	Candida	3	22.3317	0
NC_038223.1	64660	Lyophyllum decastes	Lyophyllum decastes mitochondrion, complete genome	50643	Basidiomycota	Agaricomycetes	Agaricales	Lyophyllaceae	Lyophyllum	4	22.2948	0
NC_036376.1	1136883	Torulaspora microellipsoides	Torulaspora microellipsoides strain Y-17058 mitochondrion, complete genome	34709	Ascomycota	Saccharomycetes	Saccharomycetales	Saccharomycetaceae	Torulaspora	3	22.1847	0
NC_013830.1	5479	Candida maltosa	Candida maltosa mitochondrion, complete genome	62949	Ascomycota	Saccharomycetes	Saccharomycetales	Debaryomycetaceae	Candida	4	22.0573	0
NC_015384.1	981350	Komagataella phaffii CBS 7435	Pichia pastoris CBS 7435 mitochondrion, complete genome	35683	Ascomycota	Saccharomycetes	Saccharomycetales	Phaffomycetaceae	Komagataella	4	22.0534	0
HE983614.1	1266667	Lachancea meyersii CBS 8951	Lachancea meyersii CBS 8951 complete mitochondrial genome	35864	Ascomycota	Saccharomycetes	Saccharomycetales	Saccharomycetaceae	Lachancea	3	22.053	0
NC_022434.1	561986	Candida bohioensis	Candida bohiensis mitochondrion, complete genome	69218	Ascomycota	Saccharomycetes	Saccharomycetales	Debaryomycetaceae	Candida	3	21.9234	0.21692
NC_003049.1	5334	Schizophyllum commune	Schizophyllum commune mitochondrion, complete genome	49704	Basidiomycota	Agaricomycetes	Agaricales	Schizophyllaceae	Schizophyllum	4	21.8731	0.302115
NC_045203.1	71150	Paxillus involutus	Paxillus involutus mitochondrion, complete genome	39109	Basidiomycota	Agaricomycetes	Boletales	Paxillaceae	Paxillus	4	21.7718	0
NC_015814.1	434044	Candida frijolesensis	Candida frijolesensis mitochondrion, complete genome	37215	Ascomycota	Saccharomycetes	Saccharomycetales	Debaryomycetaceae	Candida	4	21.5591	0
NC_044133.1	29893	Auricularia polytricha	Auricularia polytricha mitochondrion, complete genome	76297	Basidiomycota	Agaricomycetes	Auriculariales	Auriculariaceae	Auricularia	4	21.5446	0
NC_037774.1	482377	Russula abietina	Russula abietina mitochondrion, complete genome	67683	Basidiomycota	Agaricomycetes	Russulales	Russulaceae	Russula	4	21.5344	0.221729
NC_038055.1	55514	Lactarius deliciosus	Lactarius deliciosus mitochondrion, complete genome	53895	Basidiomycota	Agaricomycetes	Russulales	Russulaceae	Lactarius	4	21.532	0.278552
NC_037775.1	131541	Russula foetens	Russula foetens mitochondrion, complete genome	58585	Basidiomycota	Agaricomycetes	Russulales	Russulaceae	Russula	4	21.5282	0
NC_027457.1	35629	Torulaspora pretoriensis	Torulaspora pretoriensis strain YB2430 mitochondrion, complete genome	33343	Ascomycota	Saccharomycetes	Saccharomycetales	Saccharomycetaceae	Torulaspora	3	21.4895	0
NC_042699.1	80600	Rhizopogon vinicolor	Rhizopogon vinicolor mitochondrion, complete genome	77109	Basidiomycota	Agaricomycetes	Boletales	Rhizopogonaceae	Rhizopogon	4	21.4591	0
NC_042698.1	176626	Rhizopogon salebrosus	Rhizopogon salebrosus mitochondrion, complete genome	66704	Basidiomycota	Agaricomycetes	Boletales	Rhizopogonaceae	Rhizopogon	4	21.4505	0.225225
NC_038205.1	416442	Lactarius hatsudake	Lactarius hatsudake mitochondrion, complete genome	46808	Basidiomycota	Agaricomycetes	Russulales	Russulaceae	Lactarius	4	21.3547	0.320513
NC_005972.1	1247836	Starmerella bacillaris	Candida zemplinina mitochondrion, complete genome	23114	Ascomycota	Saccharomycetes	Saccharomycetales	Starmerella		3	21.3333	0
MK571437.1	80661	Phlebopus portentosus	Phlebopus portentosus mitochondrion, complete genome	43299	Basidiomycota	Agaricomycetes	Boletales	Boletinellaceae	Phlebopus	4	21.3148	0
NC_031346.1	796027	Sugiyamaella lignohabitans	Sugiyamaella lignohabitans strain CBS 10342 mitochondrion genome	43869	Ascomycota	Saccharomycetes	Saccharomycetales	Trichomonascaceae	Sugiyamaella	3	21.3128	0
HE983611.1	1266660	Lachancea dasiensis CBS 10888	Lachancea dasiensis CBS 10888 complete mitochondrial genome	26326	Ascomycota	Saccharomycetes	Saccharomycetales	Saccharomycetaceae	Lachancea	3	21.261	0
NC_037777.1	71688	Russula virescens	Russula virescens mitochondrion, complete genome	48512	Basidiomycota	Agaricomycetes	Russulales	Russulaceae	Russula	4	21.259	0
NC_038056.1	71966	Lactarius piperatus	Lactarius piperatus mitochondrion, complete genome	60843	Basidiomycota	Agaricomycetes	Russulales	Russulaceae	Lactarius	4	21.149	0
NC_045293.1	258989	Russula subnigricans	Russula subnigricans strain CX24 mitochondrion, complete genome	60949	Basidiomycota	Agaricomycetes	Russulales	Russulaceae	Russula	4	21.0739	0.246305
NC_013145.2	13368	Brettanomyces custersianus	Brettanomyces custersianus mitochondrion, complete genome	30058	Ascomycota	Saccharomycetes	Saccharomycetales	Pichiaceae	Brettanomyces	4	21.0567	0
KC993181.1	907738	Cyberlindnera suaveolens	Cyberlindnera suaveolens strain CBS 255 mitochondrion, complete genome	49704	Ascomycota	Saccharomycetes	Saccharomycetales	Phaffomycetaceae	Cyberlindnera	4	21.0433	0
NC_045204.1	463315	Paxillus rubicundulus	Paxillus rubicundulus mitochondrion, complete genome	41061	Basidiomycota	Agaricomycetes	Boletales	Paxillaceae	Paxillus	4	21.0403	0
NC_007935.1	121759	Paracoccidioides brasiliensis	Paracoccidioides brasiliensis mitochondrion, complete genome	71335	Ascomycota	Eurotiomycetes	Onygenales	Paracoccidioides		4	21.0133	1.05263
NC_038206.1	1837245	Lactifluus hygrophoroides	Lactifluus hygrophoroides mitochondrion, complete genome	48541	Basidiomycota	Agaricomycetes	Russulales	Russulaceae	Lactifluus	4	20.9515	0
HQ267968.1	434040	Candida alai	Candida alai culture-collection NRRL:Y-27739 mitochondrion, complete genome	30368	Ascomycota	Saccharomycetes	Saccharomycetales	Debaryomycetaceae	Candida	4	20.9373	0
NC_022164.1	51918	[Candida] vartiovaarae	Candida vartiovaarae strain CBS 4289 mitochondrion, complete genome	33201	Ascomycota	Saccharomycetes	Saccharomycetales	Phaffomycetaceae	Cyberlindnera	4	20.8929	0
KM595071.1	35629	Torulaspora pretoriensis	Torulaspora pretoriensis strain CBS 2187 mitochondrion, complete genome	35557	Ascomycota	Saccharomycetes	Saccharomycetales	Saccharomycetaceae	Torulaspora	3	20.7595	0
NC_028135.1	40145	Tricholoma matsutake	Tricholoma matsutake mitochondrion, complete genome	76037	Basidiomycota	Agaricomycetes	Agaricales	Tricholomataceae	Tricholoma	4	20.7009	0.197628
LC385608.1	40145	Tricholoma matsutake	Tricholoma matsutake Y-1 mitochondrial DNA, complete genome	76089	Basidiomycota	Agaricomycetes	Agaricales	Tricholomataceae	Tricholoma	4	20.6982	0
MN427435.1	466936	Russula griseocarnosa	Russula griseocarnosa mitochondrion, complete genome	60995	Basidiomycota	Agaricomycetes	Russulales	Russulaceae	Russula	4	20.642	0
NC_014805.1	870730	Ogataea angusta	Ogataea angusta mitochondrion, complete genome	41719	Ascomycota	Saccharomycetes	Saccharomycetales	Pichiaceae	Ogataea	3	20.6283	0
NC_022167.1	907738	Cyberlindnera suaveolens	Cyberlindnera suaveolens strain CBS 1670 mitochondrion, complete genome	51521	Ascomycota	Saccharomycetes	Saccharomycetales	Phaffomycetaceae	Cyberlindnera	4	20.5364	0
NC_022170.1	434042	Candida labiduridarum	Candida labiduridarum strain NRRL Y-27940 mitochondrion, complete genome	39443	Ascomycota	Saccharomycetes	Saccharomycetales	Debaryomycetaceae	Candida	4	20.5318	0
KY989226.1	27288	Naumovozyma castellii	Naumovozyma castellii strain Y-17050 mitochondrion, complete genome	27282	Ascomycota	Saccharomycetes	Saccharomycetales	Saccharomycetaceae	Naumovozyma	3	20.523	0
KY989227.1	27288	Naumovozyma castellii	Naumovozyma castellii strain Y-12631 mitochondrion, complete genome	25797	Ascomycota	Saccharomycetes	Saccharomycetales	Saccharomycetaceae	Naumovozyma	3	20.4873	0
NC_003920.1	27288	Naumovozyma castellii	Saccharomyces castellii mitochondrion, complete genome	25753	Ascomycota	Saccharomycetes	Saccharomycetales	Saccharomycetaceae	Naumovozyma	3	20.4133	0
KY989229.1	27288	Naumovozyma castellii	Naumovozyma castellii strain Y-664 mitochondrion, complete genome	25683	Ascomycota	Saccharomycetes	Saccharomycetales	Saccharomycetaceae	Naumovozyma	3	20.4133	0
NC_024093.1	44077	Magnusiomyces ingens	Magnusiomyces ingens mitochondrion, complete genome	37684	Ascomycota	Saccharomycetes	Saccharomycetales	Dipodascaceae	Magnusiomyces	3	20.3612	0
NC_036374.1	42258	Zygosaccharomyces mellis	Zygosaccharomyces mellis strain Y-12628 mitochondrion, complete genome	24335	Ascomycota	Saccharomycetes	Saccharomycetales	Saccharomycetaceae	Zygosaccharomyces	3	20.3128	0
NC_014613.1	49332	Groenewaldozyma salmanticensis	Candida salmanticensis mitochondrion, complete genome	27812	Ascomycota	Saccharomycetes	Saccharomycetales	Trichomonascaceae	Groenewaldozyma	4	20.2595	0
NC_029458.1	45286	Eremothecium sinecaudum	Eremothecium sinecaudum strain ATCC 58844 mitochondrion, complete genome	26238	Ascomycota	Saccharomycetes	Saccharomycetales	Saccharomycetaceae	Eremothecium	3	20.092	0
HE983613.1	1230905	Lachancea mirantina	Lachancea mirantina complete mitochondrial genome, strain CBS11717	30232	Ascomycota	Saccharomycetes	Saccharomycetales	Saccharomycetaceae	Lachancea	3	19.8574	0
NC_004332.1	4897	Schizosaccharomyces japonicus	Schizosaccharomyces japonicus mitochondrion, complete genome	80059	Ascomycota	Schizosaccharomycetes	Schizosaccharomycetales	Schizosaccharomycetaceae	Schizosaccharomyces	4	19.7624	0
NC_022151.1	369265	Ogataea thermophila	Ogataea thermophila strain NCAIM Y.01608 mitochondrion, complete genome	53262	Ascomycota	Saccharomycetes	Saccharomycetales	Pichiaceae	Ogataea	4	19.6075	0
NC_022159.1	36038	Barnettozyma californica	Barnettozyma californica strain CBS 252 mitochondrion, complete genome	48471	Ascomycota	Saccharomycetes	Saccharomycetales	Phaffomycetaceae	Barnettozyma	4	19.2446	0
NC_031515.1	27292	Saccharomyces pastorianus	Saccharomyces pastorianus strain NRRL Y-27171 mitochondrion, complete genome	69019	Ascomycota	Saccharomycetes	Saccharomycetales	Saccharomycetaceae	Saccharomyces	3	19.1783	0.217391
NC_039589.1	264141	Hygrophorus russula	Hygrophorus russula strain SLZ1 mitochondrion, complete genome	55769	Basidiomycota	Agaricomycetes	Agaricales	Hygrophoraceae	Hygrophorus	4	19.1375	0
NC_012145.1	520522	Saccharomyces pastorianus Weihenstephan 34/70	Saccharomyces pastorianus Weihenstephan 34/70 mitochondrion, complete genome	70578	Ascomycota	Saccharomycetes	Saccharomycetales	Saccharomycetaceae	Saccharomyces	3	19.0965	0
NC_005789.1	284811	Eremothecium gossypii ATCC 10895	Ashbya gossypii ATCC 10895 mitochondrion, complete genome	23564	Ascomycota	Saccharomycetes	Saccharomycetales	Saccharomycetaceae	Eremothecium	3	18.811	0
NC_016756.1	1034331	Eremothecium gossypii FDAG1	Ashbya gossypii FDAG1 mitochondrion, complete genome	23497	Ascomycota	Saccharomycetes	Saccharomycetales	Saccharomycetaceae	Eremothecium	3	18.7778	0
NC_022163.1	4903	Cyberlindnera jadinii	Cyberlindnera jadinii strain CBS 1600 mitochondrion, complete genome	41644	Ascomycota	Saccharomycetes	Saccharomycetales	Phaffomycetaceae	Cyberlindnera	4	18.6859	0
NC_036375.1	1143185	Torulaspora quercuum	Torulaspora quercuum strain XZ-46A mitochondrion, complete genome	33299	Ascomycota	Saccharomycetes	Saccharomycetales	Saccharomycetaceae	Torulaspora	3	18.5249	0
NC_006837.1	1213189	Zancudomyces culisetae	Smittium culisetae mitochondrion, complete genome	58654	Zoopagomycota	Harpellomycetes	Harpellales	Legeriomycetaceae	Zancudomyces	4	18.4996	0
KU920677.1	1143185	Torulaspora quercuum	Torulaspora quercuum strain 17YF mitochondrion, complete genome	33739	Ascomycota	Saccharomycetes	Saccharomycetales	Saccharomycetaceae	Torulaspora	3	18.2321	0
NC_001762.1	1156965	Wickerhamomyces canadensis	Pichia canadensis mitochondrion, complete genome	27694	Ascomycota	Saccharomycetes	Saccharomycetales	Phaffomycetaceae	Wickerhamomyces	4	18.1703	0
CP006476.1	1294305	Saccharomyces cerevisiae YJM195	Saccharomyces cerevisiae YJM195 mitochondrion, complete genome	78961	Ascomycota	Saccharomycetes	Saccharomycetales	Saccharomycetaceae	Saccharomyces	3	17.9962	0.570342
NC_033903.1	100756	Hericium coralloides	Hericium coralloides strain tvtc0002 mitochondrion, complete genome	72961	Basidiomycota	Agaricomycetes	Russulales	Hericiaceae	Hericium	4	17.9547	0
CP006534.1	1294357	Saccharomyces cerevisiae YJM1385	Saccharomyces cerevisiae YJM1385 mitochondrion, complete genome	92176	Ascomycota	Saccharomycetes	Saccharomycetales	Saccharomycetaceae	Saccharomyces	3	17.9099	0.162866
CP006517.1	1294340	Saccharomyces cerevisiae YJM1248	Saccharomyces cerevisiae YJM1248 mitochondrion, complete genome	81013	Ascomycota	Saccharomycetes	Saccharomycetales	Saccharomycetaceae	Saccharomyces	3	17.621	0.37037
NC_004691.1	284593	[Candida] glabrata CBS 138	Candida glabrata mitochondrion, complete genome	20063	Ascomycota	Saccharomycetes	Saccharomycetales	Saccharomycetaceae	Nakaseomyces	3	17.614	0
NC_022175.1	49330	[Candida] norvegica	Candida norvegica strain CBS 2874 mitochondrion, complete genome	42180	Ascomycota	Saccharomycetes	Saccharomycetales	Phaffomycetaceae	Barnettozyma	4	17.6062	0
CP006258.1	566037	Saccharomycetaceae sp. &apos;Ashbya aceri&apos;	Saccharomycetaceae sp. &apos;Ashbya aceri&apos; mitochondrion, complete genome	26996	Ascomycota	Saccharomycetes	Saccharomycetales	Saccharomycetaceae		3	17.594	0
CP006549.1	1294372	Saccharomyces cerevisiae YJM1439	Saccharomyces cerevisiae YJM1439 mitochondrion, complete genome	80882	Ascomycota	Saccharomycetes	Saccharomycetales	Saccharomycetaceae	Saccharomyces	3	17.5622	0.185529
NW_017264706.1	1080349	Saccharomyces eubayanus	Saccharomyces eubayanus strain FM1318 mitochondrion, complete sequence, whole genome shotgun sequence	63999	Ascomycota	Saccharomycetes	Saccharomycetales	Saccharomycetaceae	Saccharomyces	3	17.5133	0
NC_022171.1	1378264	Wickerhamomyces mucosus	Wickerhamomyces mucosus strain CBS 6341 mitochondrion, complete genome	46416	Ascomycota	Saccharomycetes	Saccharomycetales	Phaffomycetaceae	Wickerhamomyces	4	17.4995	0
CP006518.1	1294341	Saccharomyces cerevisiae YJM1250	Saccharomyces cerevisiae YJM1250 mitochondrion, complete genome	88746	Ascomycota	Saccharomycetes	Saccharomycetales	Saccharomycetaceae	Saccharomyces	3	17.471	0.338409
CM008094.1	5478	[Candida] glabrata	[Candida] glabrata strain DSY562 mitochondrion, complete sequence, whole genome shotgun sequence	20086	Ascomycota	Saccharomycetes	Saccharomycetales	Saccharomycetaceae	Nakaseomyces	3	17.4637	0
CM008107.1	5478	[Candida] glabrata	[Candida] glabrata strain DSY565 mitochondrion, complete sequence, whole genome shotgun sequence	20086	Ascomycota	Saccharomycetes	Saccharomycetales	Saccharomycetaceae	Nakaseomyces	3	17.4637	0
NC_036379.1	418086	[Candida] nivariensis	[Candida] nivariensis strain Y-48269 mitochondrion, complete genome	28524	Ascomycota	Saccharomycetes	Saccharomycetales	Saccharomycetaceae	Nakaseomyces	3	17.4246	0
CP006533.1	1294356	Saccharomyces cerevisiae YJM1383	Saccharomyces cerevisiae YJM1383 mitochondrion, complete genome	86820	Ascomycota	Saccharomycetes	Saccharomycetales	Saccharomycetaceae	Saccharomyces	3	17.3691	0.519031
HE664112.1	4934	Lachancea kluyveri	Lachancea kluyveri complete mitochondrial genome, strain CBS5828	53726	Ascomycota	Saccharomycetes	Saccharomycetales	Saccharomycetaceae	Lachancea	3	17.2961	0
CP006475.1	1294304	Saccharomyces cerevisiae YJM193	Saccharomyces cerevisiae YJM193 mitochondrion, complete genome	84644	Ascomycota	Saccharomycetes	Saccharomycetales	Saccharomycetaceae	Saccharomyces	3	17.2199	1.06383
CP006497.1	1294322	Saccharomyces cerevisiae YJM693	Saccharomyces cerevisiae YJM693 mitochondrion, complete genome	89161	Ascomycota	Saccharomycetes	Saccharomycetales	Saccharomycetaceae	Saccharomyces	3	17.2065	0.16835
CP006480.1	1294309	Saccharomyces cerevisiae YJM271	Saccharomyces cerevisiae YJM271 mitochondrion, complete genome	84530	Ascomycota	Saccharomycetes	Saccharomycetales	Saccharomycetaceae	Saccharomyces	3	17.1533	0.17762
NC_001224.1	559292	Saccharomyces cerevisiae S288C	Saccharomyces cerevisiae S288c mitochondrion, complete genome	85779	Ascomycota	Saccharomycetes	Saccharomycetales	Saccharomycetaceae	Saccharomyces	3	17.1033	0.175131
NC_036023.1	1003335	Kluyveromyces marxianus DMKU3-1042	Kluyveromyces marxianus DMKU3-1042 mitochondrial DNA, complete genome	46308	Ascomycota	Saccharomycetes	Saccharomycetales	Saccharomycetaceae	Kluyveromyces	3	16.9957	0
CP006532.1	1294355	Saccharomyces cerevisiae YJM1381	Saccharomyces cerevisiae YJM1381 mitochondrion, complete genome	83874	Ascomycota	Saccharomycetes	Saccharomycetales	Saccharomycetaceae	Saccharomyces	3	16.9314	0.178891
NC_025331.1	4911	Kluyveromyces marxianus	Kluyveromyces marxianus strain NBRC 1777 mitochondrion, complete genome	46256	Ascomycota	Saccharomycetes	Saccharomycetales	Saccharomycetaceae	Kluyveromyces	3	16.9264	0
CP006508.1	1292971	Saccharomyces cerevisiae YJM1083	Saccharomyces cerevisiae YJM1083 mitochondrion, complete genome	89444	Ascomycota	Saccharomycetes	Saccharomycetales	Saccharomycetaceae	Saccharomyces	3	16.9262	0.167785
CP006492.1	1294317	Saccharomyces cerevisiae YJM627	Saccharomyces cerevisiae YJM627 mitochondrion, complete genome	80791	Ascomycota	Saccharomycetes	Saccharomycetales	Saccharomycetaceae	Saccharomyces	3	16.9244	0.371747
CP006564.1	1294387	Saccharomyces cerevisiae YJM1592	Saccharomyces cerevisiae YJM1592 mitochondrion, complete genome	80788	Ascomycota	Saccharomycetes	Saccharomycetales	Saccharomycetaceae	Saccharomyces	3	16.8687	0.185874
CP006538.1	1294361	Saccharomyces cerevisiae YJM1389	Saccharomyces cerevisiae YJM1389 mitochondrion, complete genome	80794	Ascomycota	Saccharomycetes	Saccharomycetales	Saccharomycetaceae	Saccharomyces	3	16.8686	0.185874
HE774664.1	4934	Lachancea kluyveri	Lachancea kluyveri complete mitochondrial genome, strain CBS 6547	50137	Ascomycota	Saccharomycetes	Saccharomycetales	Saccharomycetaceae	Lachancea	3	16.7345	0
CP006528.1	1294351	Saccharomyces cerevisiae YJM1341	Saccharomyces cerevisiae YJM1341 mitochondrion, complete genome	84119	Ascomycota	Saccharomycetes	Saccharomycetales	Saccharomycetaceae	Saccharomyces	3	16.6119	0.178571
CP006494.1	1294319	Saccharomyces cerevisiae YJM682	Saccharomyces cerevisiae YJM682 mitochondrion, complete genome	88887	Ascomycota	Saccharomycetes	Saccharomycetales	Saccharomycetaceae	Saccharomyces	3	16.5867	0.506757
CP006495.1	1294320	Saccharomyces cerevisiae YJM683	Saccharomyces cerevisiae YJM683 mitochondrion, complete genome	88953	Ascomycota	Saccharomycetes	Saccharomycetales	Saccharomycetaceae	Saccharomyces	3	16.5734	0
CP006554.1	1294377	Saccharomyces cerevisiae YJM1460	Saccharomyces cerevisiae YJM1460 mitochondrion, complete genome	82773	Ascomycota	Saccharomycetes	Saccharomycetales	Saccharomycetaceae	Saccharomyces	3	16.5554	0
CP006555.1	1294378	Saccharomyces cerevisiae YJM1463	Saccharomyces cerevisiae YJM1463 mitochondrion, complete genome	79676	Ascomycota	Saccharomycetes	Saccharomycetales	Saccharomycetaceae	Saccharomyces	3	16.5549	0.188324
